"filename", "language", "Markdown", "C", "C++", "comment", "blank", "total"
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\area.h", "C++", 0, 0, 4, 0, 3, 7
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\hesuan.h", "C", 0, 1, 0, 0, 0, 1
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\history.h", "C", 0, 0, 0, 0, -1, -1
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\prevent.h", "C++", 0, 0, 2, 0, 0, 2
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\README.md", "Markdown", 2, 0, 0, 0, 1, 3
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\area.c", "C", 0, 33, 0, 10, 3, 46
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\hesuan.c", "C", 0, 114, 0, 20, 4, 138
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\history.c", "C", 0, 12, 0, -10, 0, 2
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\main.c", "C", 0, 11, 0, 1, 0, 12
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\prevent.c", "C", 0, 84, 0, 16, 5, 105
"Total", "-", 2, 255, 6, 37, 15, 315